#SCM values                                         Real       

#10 secs  sf            bm
167.2960002       -3.454731643      0.664369422
139.595 -51.697719          8.890873934
95.74     -94.03487614      43.30451693
51.44     -83.80318629      85.72574146
7.145     -27.19395064      112.1998375
-46.08399981      -29.51345507      111.5349535
-88.695 76.61532921       87.18436772
-132.48 112.1830258       42.67224734
-161.485               75.68008586       13.3316353

